ID	POS	Traditional
B1L04-II-03	N	手機
B1L04-II-04	Adv	太
B1L04-II-05	Vs	舊
B1L04-II-06	Ptc	了
B1L04-II-07	M	種
B1L04-II-08	Vaux	能
B1L04-II-09	V-sep	上網
B1L04-II-10	Det	那
B1L04-II-11	Vs	貴
B1L04-II-12	V	賣
B1L04-II-13	Vs	便宜
B1L04-II-14	Vst	要
B1L04-II-15	N	萬
B1L04-II-16		千
B1L04-II-17		為什麼
B1L05-I-01	N	牛肉
B1L05-I-02	N	麵
B1L05-I-03	Adv	真
B1L05-I-04	Vs	好吃
B1L05-I-05	V	說
B1L05-I-06	Vs-pred	少
B1L05-I-07	Vs	有名
B1L05-I-08	N	小吃
B1L05-I-09	Adv	最
B1L05-I-10	N	湯
B1L05-I-11	Adv	這麼
B1L05-I-12	Vst	知道
B1L05-I-13	M	家
B1L05-I-14	N	店
B1L05-I-15	Adv	一定
B1L05-I-16	V	點
B1L05-I-17	M	碗
B1L05-I-18		是啊
B1L05-I-19		小籠包
B1L05-I-20		臭豆腐
B1L05-I-21		太好了
B1L05-II-01	N	昨天
B1L05-II-02	N	餐廳
B1L05-II-03	Conj	可是
B1L05-II-04	Vs	辣
B1L05-II-05	Vst	怕
B1L05-II-06	Conj	所以
B1L05-II-07	N	自己
B1L05-II-08	V-sep	做飯
B1L05-II-09	Ptc	得
B1L05-II-10	Vaux	會
B1L05-II-11	N	甜點
B1L05-II-12	Vs	不錯
B1L05-II-13	Vaux	可以
B1L05-II-14	V	教
B1L05-II-15	Prep	到
B1L05-II-16		有一點
B1L05-II-17		不好
B1L06-I-01	N	他們
B1L06-I-02	N	學校
B1L06-I-03	Vst	在
B1L06-I-04	N	山上
B1L06-I-05	N	哪裡
B1L06-I-06	Vs	遠
B1L06-I-07	N	那裡
B1L06-I-08	N	風景
B1L06-I-09	Vs	美
B1L06-I-10	N	前面
B1L06-I-11	N	海
B1L06-I-12	N	後面
B1L06-I-13	N	山
B1L06-I-14	Adv	真的
B1L06-I-15	N	地方
B1L06-I-16	N	現在
B1L06-I-17	N	附近
B1L06-I-18	N	樓下
B1L06-I-19	V	找
B1L06-I-20	N	朋友
B1L06-I-21	V-sep	上課
B1L06-I-22		花蓮
B1L06-I-23		聽說
B1L06-II-01	Vs	近
B1L06-II-02	Vs	方便
B1L06-II-03	N	這裡
B1L06-II-04	N	學生
B1L06-II-05	Prep	在
B1L06-II-06	N	東西
B1L06-II-07	N	外面
B1L06-II-08	N	裡面
B1L06-II-09	N	商店
B1L06-II-10	V-sep	吃飯
B1L06-II-11	N	宿舍
B1L06-II-12	N	樓
B1L06-II-13	M	棟
B1L06-II-14	N	大樓
B1L06-II-15	N	圖書館
B1L06-II-16	N	旁邊
B1L06-II-17	N	教室
B1L06-II-18	N	游泳池
B1L07-I-01	M	點
B1L07-I-02		KTV
B1L07-I-02	N	KTV
B1L07-I-03	V-sep	唱歌
B1L07-I-04	M	分
B1L07-I-05	V-sep	見面
B1L07-I-06	Prep	從
B1L07-I-07	N	中午
B1L07-I-08	Vaux	得
B1L07-I-09	N	銀行
B1L07-I-10	N	時候
B1L07-I-11	N	後天
B1L07-I-12		大安
B1L07-I-13		下次
B1L07-I-14		沒問題
B1L07-I-15		對了
B1L07-I-16		有空
B1L07-I-17		再見
B1L07-II-01	Vs	在
B1L07-II-02	N	午餐
B1L07-II-03	Adv	剛
B1L07-II-04	V-sep	下課
B1L07-II-05	N	下午
B1L07-II-06	N	半
B1L07-II-07	N	比賽
B1L07-II-08	Vp	結束
B1L07-II-09	N	最近
B1L07-II-10	Vs	忙
B1L07-II-11	Det	每
B1L07-II-12	M	天
B1L07-II-13	N	書法
B1L07-II-14	N	課
B1L07-II-15	Vp	開始
B1L07-II-16	N	字
B1L07-II-17	V	寫
B1L07-II-18	Vaux	可以
B1L07-II-19	V	問
B1L07-II-20		等一下
B1L07-II-21		有事
B1L07-II-22		有意思
B1L08-I-01	V	坐
B1L08-I-02	N	火車
B1L08-I-03	Prep	跟
B1L08-I-04	V	玩
B1L08-I-05	Adv	怎麼
B1L08-I-06	Vs	慢
B1L08-I-07	N	鐘頭
B1L08-I-08	Adv	比較
B1L08-I-09	Vs	快
B1L08-I-10	N	車票
B1L08-I-11	Adv	非常
B1L08-I-12	Conj	但是
B1L08-I-13	Adv	又
B1L08-I-14	Vs	舒服
B1L08-I-15	N	站
B1L08-I-16	Conj	或是
B1L08-I-17		臺南
B1L08-I-18		高鐵
B1L08-I-19		網路上
B1L08-I-20		便利商店
B1L08-II-01	N	同學
B1L08-II-02	V	參觀
B1L08-II-03	N	古代
B1L08-II-04	V	騎
B1L08-II-05	N	機車
B1L08-II-06	V	載
B1L08-II-07	N	捷運
B1L08-II-08	Prep	比
B1L08-II-09		故宮博物院
B1L08-II-09		故宮博物院 (故宮)
B1L08-II-09		故宮博物院(故宮)
B1L08-II-09		故宮博物院（故宮）
B1L08-II-10		中國
B1L08-II-11		公共汽車
B1L08-II-11		公共汽車 (公車)
B1L08-II-11		公共汽車(公車)
B1L08-II-11		公共汽車（公車）
B1L08-II-12		不行
B1L08-II-13		計程車
B1L08-II-14		差不多
B1L09-I-01	N	星期 + number
B1L09-I-02	V-sep	回國
B1L09-I-03	Vaux	打算
B1L09-I-04	N	電視
B1L09-I-05	N	影片
B1L09-I-06	Vi	旅行
B1L09-I-07	N	功課
B1L09-I-08	Vi	出去
B1L09-I-09	Adv	大概
B1L09-I-10		放假
B1L09-I-11		下個星期
B1L09-I-12		有時候
B1L09-I-13		多久
B1L09-I-14		臺東
B1L09-II-01	N	女 + noun
B1L09-II-02	N	number + 月
B1L09-II-03	N	number + 號
B1L09-II-04	V	帶
B1L09-II-05	N	她
B1L09-II-06	Adv	還
B1L09-II-07	N	建議
B1L09-II-08	N	夜市
B1L09-II-09	Vaux	應該
B1L09-II-10	V	逛
B1L09-II-11	Vs	特別
B1L09-II-12	N	茶館
B1L09-II-13	Vp	決定
B1L09-II-14	Conj	要是
B1L09-II-15	Adv	就
B1L09-II-16		貓空
B1L10-I-01	N	水果
B1L10-I-02	N	黃色
B1L10-I-03	N	芒果
B1L10-I-04	V	給
B1L10-I-05	M	塊
B1L10-I-06	Vs	香
B1L10-I-07	Vs	甜
B1L10-I-08	N	紅色
B1L10-I-09	N	西瓜
B1L10-I-10	Ptc	吧
B1L10-I-11	Vs	對
B1L10-I-12	N	以前
B1L10-I-13	N	機會
B1L10-I-14	V	請
B1L10-I-15		吃吃看
B1L10-II-01	V	拍
B1L10-II-02	V	笑
B1L10-II-03	Vs	開心
B1L10-II-04	V	穿
B1L10-II-05	N	衣服
B1L10-II-06	N	旅館
B1L10-II-07	N	太太
B1L10-II-08	N	男 + noun
B1L10-II-09	Vs	矮
B1L10-II-10	Vs	高
B1L10-II-11	N	弟弟
B1L10-II-12	Vs	乾淨
B1L10-II-13	N	窗戶
B1L10-II-14	Prep	往
B1L10-II-15	N	藍色
B1L10-II-16	Conj	因為
B1L10-II-17	V	住
B1L10-II-18		上個月
B1L10-II-19		這些
B1L11-I-01	V	租
B1L11-I-02	N	房東
B1L11-I-03	N	客廳
B1L11-I-04	N	廚房
B1L11-I-05	N	左邊
B1L11-I-06	N	右邊
B1L11-I-07	N	浴室
B1L11-I-08	N	超市
B1L11-I-09	V-sep	走路
B1L11-I-10	M	分鐘
B1L11-I-11	Adv	就
B1L11-I-12	Vp	到
B1L11-I-13	M	間
B1L11-I-14	Vs	空
B1L11-I-15	N	房間
B1L11-I-16	N	套房
B1L11-I-17	Vi	回去
B1L11-I-18	V	想
B1L11-I-19	Adv	再
B1L11-I-20	N	電話
B1L11-I-21	Prep	給
B1L11-I-22		林
B1L11-I-23		打電話
B1L11-II-01	Ptc	喂
B1L11-II-02	N	房租
B1L11-II-03	Adv	已經
B1L11-II-04	Vs	習慣
B1L11-II-05	N	問題
B1L11-II-06	N	熱水器
B1L11-II-07	Adv	好像
B1L11-II-08	Vaux	會
B1L11-II-09	V	等
B1L11-II-10	Ptc	那
B1L11-II-11	V	裝
B1L11-II-12	Conj	不過
B1L11-II-13	V	付
B1L11-II-14		收到
B1L11-II-15		不好意思
B1L11-II-16		沒關係
B1L11-II-17		有線電視
B1L12-I-01	V	計畫
B1L12-I-02	M	年
B1L12-I-03	Vs	久
B1L12-I-04	N	時間
B1L12-I-05	Adv	先
B1L12-I-06	V	念
B1L12-I-07	N	大學
B1L12-I-08	Vst	需要
B1L12-I-09	V	花
B1L12-I-10	N	獎學金
B1L12-I-11	N	成績
B1L12-I-12	N	學費
B1L12-I-13	N	公司
B1L12-I-14	Prep	替
B1L12-I-15	Vst	希望
B1L12-I-16	N	以後
B1L12-I-17	V	到
B1L12-I-18	V-sep	上班
B1L12-I-19	V-sep	念書
B1L12-I-20	Vs	累
B1L12-I-21		語言中心
B1L12-I-22		加油
B1L12-II-01	Vi	工作
B1L12-II-02	N	去年
B1L12-II-03	V	做
B1L12-II-04	N	生意
B1L12-II-05	N	以後
B1L12-II-06	Vs	好
B1L12-II-07	V	找
B1L12-II-08	N	工作
B1L12-II-09	N	這樣
B1L12-II-10	N	國家
B1L12-II-11	Vi	試
B1L12-II-12	Vs	難
B1L12-II-13	Ptc	那麼
B1L12-II-14	Adv	再
B1L12-II-15		試試看
B1L13-I-01	N	生日
B1L13-I-02	Vs	快樂
B1L13-I-03	Vi	回來
B1L13-I-04	Ptc	啊
B1L13-I-05	Adv	怎麼
B1L13-I-06	Vpt	忘
B1L13-I-06	Vpt	忘 (了)
B1L13-I-06	Vpt	忘 / 忘了
B1L13-I-06	Vpt	忘(了)
B1L13-I-06	Vpt	忘了
B1L13-I-06	Vpt	忘（了）
B1L13-I-07	Vst	記得
B1L13-I-08	Adv	當然
B1L13-I-09	N	語言
B1L13-I-10	V	交換
B1L13-I-11	Adv	那麼
B1L13-I-12	Vs	熱心
B1L13-I-13	N	西班牙文
B1L13-I-14	Vs	一樣
B1L13-I-15	V	過
B1L13-I-16	N	左右
B1L13-I-17	N	門口
B1L13-I-18		西班牙
B1L13-I-19		生日快樂
B1L13-I-20		我就是
B1L13-I-21		好久不見
B1L13-I-22		不必客氣
B1L13-I-23		太客氣
B1L13-II-01	N	禮物
B1L13-II-02	N	今年
B1L13-II-03	V	訂
B1L13-II-04	Ptc	了
B1L13-II-05	N	豬腳
B1L13-II-06	N	麵線
B1L13-II-07	N	蛋
B1L13-II-08	Vs	一點
B1L13-II-09	N	傳統
B1L13-II-10	Vs	年輕
B1L13-II-11	N	蛋糕
B1L13-II-12	Prep	對
B1L13-II-13	V	祝
B1L13-II-14		哪裡 哪裡
B1L13-II-14		哪裡,哪裡
B1L13-II-14		哪裡，哪裡
B1L13-II-15		大部分
B1L13-II-16		萬事如意
B1L13-II-17		心想事成
B1L14-I-01	N	天氣
B1L14-I-02	Vs	冷
B1L14-I-03	N	風
B1L14-I-04	V-sep	滑雪
B1L14-I-05	N	春天
B1L14-I-06	Vst	想
B1L14-I-07	N	新年
B1L14-I-08	Adv	快
B1L14-I-09	N	父母
B1L14-I-10	N	冬天
B1L14-I-11	N	明年
B1L14-I-12	N	秋天
B1L14-I-13	N	紅葉
B1L14-I-14	Adv	只
B1L14-I-15		玉山
B1L14-I-16		紐約
B1L14-I-17		下雪
B1L14-I-18		十二月底
B1L14-II-01	N	雨
B1L14-II-02	N	傘
B1L14-II-03	N	颱風
B1L14-II-04	Adv	要
B1L14-II-05	N	夏天
B1L14-II-06	Vs	濕
B1L14-II-07	Vs	討厭
B1L14-II-08	N	新聞
B1L14-II-09	Adv	更
B1L14-II-10	N	大家
B1L14-II-11	Vs	小心
B1L14-II-12	Vs	可怕
B1L14-II-13	Vp	停
B1L14-II-14		下雨
B1L14-II-15		這次
B1L14-II-16		上次
B1L14-II-17		慢走
B1L15-I-01	N	醫生
B1L15-I-02	Adv	一直
B1L15-I-03	V	流
B1L15-I-04	N	鼻水
B1L15-I-05	N	頭
B1L15-I-06	Vs	痛
B1L15-I-07	N	胃口
B1L15-I-08	Vs	差
B1L15-I-09	N	喉嚨
B1L15-I-10	Vp-sep	發炎
B1L15-I-11	Vp-sep	生病
B1L15-I-12	Vp-sep	發燒
B1L15-I-13	Vp	感冒
B1L15-I-14	N	藥
B1L15-I-15	N	藥局
B1L15-I-16	V	拿
B1L15-I-17	Ptc	把
B1L15-I-18	N	水
B1L15-I-19	Vi	休息
B1L15-I-20	V-sep	睡覺
B1L15-I-21		早一點
B1L15-II-01	N	臉色
B1L15-II-02	Vs	難看
B1L15-II-03	N	肚子
B1L15-II-04	V	吐
B1L15-II-05	N	幾
B1L15-II-06	M	次
B1L15-II-07	V	陪
B1L15-II-08	V-sep	看病
B1L15-II-09	N	健康
B1L15-II-10	N	保險
B1L15-II-11	Prep	跟
B1L15-II-12	Vs	油
B1L15-II-13	Vs	冰
B1L15-II-14	Adv	別
B1L15-II-15	Vs	關心
B1L15-II-16	M	包
B1L15-II-17	Vi	睡
B1L15-II-18	N	小時
B1L15-II-19		怎麼了
B1L15-II-20		不用了
B1L15-II-21		健康中心
B1L15-II-22		回家
B1L15-II-23		最好
B2L01-I-01	Vi	走
B2L01-I-02	N	路人
B2L01-I-03	V-sep	幫忙
B2L01-I-04	Vp-sep	迷路
B2L01-I-05	Det	下
B2L01-I-06	N	路口
B2L01-I-07	N	段
B2L01-I-08	V	過
B2L01-I-09	Det	第
B2L01-I-10	N	紅綠燈
B2L01-I-11	V	告訴
B2L01-I-12	N	提款機
B2L01-I-13	N	超商
B2L01-I-14	Vaux	應該
B2L01-I-15	N	郵局
B2L01-I-16	V	提
B2L01-I-17	N	那邊
B2L01-I-18		師大
B2L01-I-18		師大 (師範大學)
B2L01-I-18		師大 / 師範大學
B2L01-I-18		師大(師範大學)
B2L01-I-18		師大（師範大學）
B2L01-I-19		和平東路
B2L01-I-20		往前
B2L01-I-21		右轉
B2L01-I-22		聽起來
B2L01-I-23		看見
B2L01-II-01	V	下載
B2L01-II-02	N	地圖
B2L01-II-03	Vs	好用
B2L01-II-04	Ptc	著
B2L01-II-05	N	日用品
B2L01-II-06	V	經過
B2L01-II-07	N	巷子
B2L01-II-08	Vs	餓
B2L01-II-09	Adv	一邊
B2L01-II-10	Vpt	發現
B2L01-II-11	Prep	離
B2L01-II-12	N	背包
B2L01-II-13	Adv	正好
B2L01-II-14	Adv	最後
B2L01-II-15	M	枝
B2L01-II-16	N	筆
B2L01-II-17	M	本
B2L01-II-18	N	本子
B2L01-II-19		左轉
B2L01-II-20		師大路上
B2L01-II-21		麵店
B2L02-I-01	Adv	還是
B2L02-I-02	Vs	早
B2L02-I-03	V	約
B2L02-I-04	N	對面
B2L02-I-05	Adv	直接
B2L02-I-06	Vaux	不必
B2L02-I-07	V	換
B2L02-I-08	N	車站
B2L02-I-09	Vs	麻煩
B2L02-I-10	Adv	趕快
B2L02-I-11	Vp	走
B2L02-I-12	N	班次
B2L02-I-13	N	禮拜
B2L02-I-14	V	見
B2L02-I-15		電腦展
B2L02-I-16		世貿展覽館
B2L02-I-17		展覽館
B2L02-I-18		台北 101
B2L02-I-18		台北101
B2L02-I-19		台北
B2L02-I-20		2 號線
B2L02-I-20		2號線
B2L02-I-21		別急
B2L02-II-01	N	飛機
B2L02-II-02	V-sep	轉機
B2L02-II-03	N	機場
B2L02-II-04	N	巴士
B2L02-II-05	N	市區
B2L02-II-06	V	下
B2L02-II-07	N	交通
B2L02-II-08	Vs	便利
B2L02-II-09	Adv	到處
B2L02-II-10	N	路線
B2L02-II-11	Vs	複雜
B2L02-II-12	Vs	輕鬆
B2L02-II-13	N	東部
B2L02-II-14	N	海邊
B2L02-II-15	N	島
B2L02-II-16	V	搭
B2L02-II-17	N	船
B2L02-II-18	Ptc	地
B2L02-II-19		美美
B2L02-II-20		法國
B2L02-II-21		歐洲
B2L02-II-22		悠遊卡
B2L02-II-23		綠島
B2L02-II-24		東南邊
B2L02-II-25		好好地
B2L03-I-01	Vp	進步
B2L03-I-02	Vs	早
B2L03-I-03	N	考試
B2L03-I-04	V	準備
B2L03-I-05	V	考
B2L03-I-06	N	聽寫
B2L03-I-07	Vs	容易
B2L03-I-08	N	小學
B2L03-I-09	N	漢字
B2L03-I-10	N	高中
B2L03-I-11	Ptc	過
B2L03-I-12	Adv	才
B2L03-I-13	V-sep	說話
B2L03-I-14	Adv	不夠
B2L03-I-15	Vs	流利
B2L03-I-16	Conj	雖然
B2L03-I-17	N	環境
B2L03-I-18	Vst	同意
B2L03-I-19	N	報紙
B2L03-I-20	N	麵包
B2L03-I-21	N	演講
B2L03-I-22	Ptc	噢
B2L03-I-23		活動中心
B2L03-I-24		想起來
B2L03-II-01	V	選
B2L03-II-02	N	作業
B2L03-II-03	V	練習
B2L03-II-04	N	半夜
B2L03-II-05	Vs	高興
B2L03-II-06	Adv	平常
B2L03-II-07	V-sep	爬山
B2L03-II-08	Vpt	認識
B2L03-II-09	V-sep	聊天
B2L03-II-10	N	文化
B2L03-II-11	N	廣告
B2L03-II-12	M	位
B2L03-II-13	Vst	了解
B2L03-II-14	N	生活
B2L03-II-15		陽明山
B2L03-II-16		外國人
B2L03-II-17		一些
B2L04-I-01		高美玲
B2L04-I-02	V-sep	打工
B2L04-I-03	N	主任
B2L04-I-04	V	介紹
B2L04-I-05	M	歲
B2L04-I-06	N	語言學
B2L04-I-07	N	經驗
B2L04-I-08	V	談
B2L04-I-09	V	當
B2L04-I-10	N	助教
B2L04-I-11	N	上午
B2L04-I-12	Prep	除了
B2L04-I-13	N	年級
B2L04-I-14	N	暑假
B2L04-I-15	V	請教
B2L04-I-16	Vs-attr	貴
B2L04-I-17	N	薪水
B2L04-I-18	V	算
B2L04-I-19	Prep	按照
B2L04-I-20	N	教授
B2L04-I-21	N	鐘點費
B2L04-I-22	M	份
B2L04-I-23		法文
B2L04-I-24		亞洲
B2L04-I-25		西班牙語
B2L04-I-26		英文
B2L04-I-27		三年級
B2L04-II-01	N	法律
B2L04-II-02	Vs-pred	夠
B2L04-II-03	N	履歷表
B2L04-II-04	Vi/N	面談
B2L04-II-05	N	華僑
B2L04-II-06	N	辦公室
B2L04-II-07	V-sep	談話
B2L04-II-08	N	情形
B2L04-II-09	Vst	適合
B2L04-II-10	V	說明
B2L04-II-11	Adv	然後
B2L04-II-12	N	月底
B2L04-II-13	V	發
B2L04-II-14	Adv	馬上
B2L04-II-15	V	答應
B2L04-II-16	Vs	順利
B2L04-II-17		黃
B2L04-II-18		沒想到
B2L05-I-01	N	喜酒
B2L05-I-02	V	恭喜
B2L05-I-03	N	新娘
B2L05-I-04	V	參加
B2L05-I-05	N	婚禮
B2L05-I-06	N	西裝
B2L05-I-07	Vs	正式
B2L05-I-08	N	客人
B2L05-I-09	N	手
B2L05-I-10	N	照相機
B2L05-I-11	N	新郎
B2L05-I-12	Vi	站
B2L05-I-13	Vs	白
B2L05-I-14	Vs	帥
B2L05-I-15	N	禮服
B2L05-I-16	N	座位
B2L05-I-17		看起來
B2L05-II-01	Vp-sep	結婚
B2L05-II-02	N	日子
B2L05-II-03	N	親戚
B2L05-II-04	Vs	熱鬧
B2L05-II-05	V	慶祝
B2L05-II-06	M	件
B2L05-II-07	N	喜事
B2L05-II-08	V-sep	請客
B2L05-II-09	N	紅包
B2L05-II-10	V	送
B2L05-II-11	N	新人
B2L05-II-12	N	喜宴
B2L05-II-13	V-sep	敬酒
B2L05-II-14	N	大人
B2L05-II-15	N	小孩
B2L05-II-16	Vs	不得了
B2L05-II-17	Det	另外
B2L05-II-18	N	糖
B2L05-II-19	Vp	離開
B2L05-II-20	M	句
B2L05-II-21	V	祝福
B2L05-II-22	N	話
B2L05-II-23		一會兒
B2L05-II-24		有說有笑
B2L05-II-25		有吃有喝
B2L05-II-26		百年好合
B2L05-II-27		早生貴子
B2L06-I-01		李東健
B2L06-I-02	V	搬
B2L06-I-03	N	河邊
B2L06-I-04	N	公園
B2L06-I-05	N	腳踏車
B2L06-I-06	Adv	正在
B2L06-I-07	N	網站
B2L06-I-08	N	資料
B2L06-I-09	V-sep	搬家
B2L06-I-10	Vs	近
B2L06-I-11	N	合約
B2L06-I-12	Vp	到期
B2L06-I-13	Adv	還好
B2L06-I-14	N	光線
B2L06-I-15	Vs	重要
B2L06-I-16	Conj	如果
B2L06-I-17	Det	別的
B2L06-I-18	Vs	合適
B2L06-I-19	Vpt	少
B2L06-I-20	Vs	可惜
B2L06-I-21	V	放
B2L06-I-22	N	兩邊
B2L06-I-23	Vaux	願意
B2L06-I-24	V	開
B2L06-I-25	V	存
B2L06-I-26	N	隨身碟
B2L06-I-27		什麼樣
B2L06-I-28		慢慢來
B2L06-I-29		不急
B2L06-II-01	Adv	相當
B2L06-II-02	N	自行車
B2L06-II-03	N	床
B2L06-II-04	N	桌子
B2L06-II-05	N	椅子
B2L06-II-06	N	家具
B2L06-II-07	Conj	而且
B2L06-II-08	Vs	吵
B2L06-II-09	N	生活費
B2L06-II-10	Vs	低
B2L06-II-11	Vi/V	留
B2L06-II-12	Vs	長
B2L06-II-13	V	討論
B2L06-II-14	N	社團
B2L06-II-15	N	活動
B2L06-II-16	Vs	失望
B2L06-II-17	Vs-sep	放心
B2L06-II-18	V	用
B2L06-II-19		首爾
B2L07-I-01	N	垃圾
B2L07-I-02	V	倒
B2L07-I-03	V	丟
B2L07-I-04	V	收
B2L07-I-05	Vst	以為
B2L07-I-06	V	回收
B2L07-I-07	N	規定
B2L07-I-08	Conj	要不然
B2L07-I-09	N	皮包
B2L07-I-10	Vi	跑
B2L07-I-11	V	追
B2L07-I-12	Vs	有趣
B2L07-I-13	Vs	不壞
B2L07-I-14		天天
B2L07-I-15		汽水罐
B2L07-I-16		紙杯
B2L07-I-17		放下
B2L07-I-18		走出來
B2L07-I-19		怎麼辦
B2L07-II-01	V	聊
B2L07-II-02	Adv	忽然
B2L07-II-03	N	聲音
B2L07-II-04	Vs	奇怪
B2L07-II-05	N	袋子
B2L07-II-06	M	輛
B2L07-II-07	Vs-attr	一定
B2L07-II-08	N	地點
B2L07-II-09	Prep	為了
B2L07-II-10	V	保護
B2L07-II-11	N	分類
B2L07-II-12	V	利用
B2L07-II-13	N	紙
B2L07-II-14	N	瓶子
B2L07-II-15	N	塑膠
B2L07-II-16	N	資源
B2L07-II-17	N	回收桶
B2L07-II-18	N	城市
B2L07-II-19		聽見
B2L07-II-20		開過來
B2L07-II-21		走過去
B2L07-II-22		丟進去
B2L07-II-23		路上
B2L08-I-01	N	功夫
B2L08-I-02	V	叫
B2L08-I-03	Ptc	見
B2L08-I-04	V	推
B2L08-I-05	N	體育館
B2L08-I-06	N	太極拳
B2L08-I-07	N	師父
B2L08-I-08	N	天分
B2L08-I-09	Vpt	懂
B2L08-I-10	Vp	起來
B2L08-I-11	N	動作
B2L08-I-12	Vs	輕
B2L08-I-13	N	腿
B2L08-I-14	Ptc	了
B2L08-I-15	Ptc	下去
B2L08-I-16	N	興趣
B2L08-I-17	V	借
B2L08-I-18		有天分
B2L08-I-19		學會
B2L08-I-20		起不來
B2L08-I-21		走不了路
B2L08-II-01	N	好處
B2L08-II-02	Vi	抱怨
B2L08-II-03	N	公尺
B2L08-II-04	Adv	總是
B2L08-II-05	Ptc	完
B2L08-II-06	N	體力
B2L08-II-07	N	整天
B2L08-II-08	N	精神
B2L08-II-09	Adv	本來
B2L08-II-10	Vaux	可能
B2L08-II-11	V	回
B2L08-II-12	V	影響
B2L08-II-13	N	身體
B2L08-II-14	N	練
B2L08-II-15		想起
